author;score;num_comments;p_score
222678;-23.0;45;-0.5111111111111111
72565;-37.0;45;-0.8222222222222222
540267;-11.5;46;-0.25
241925;6.0;46;0.13043478260869565
480291;-33.5;46;-0.7282608695652174
536478;-27.0;46;-0.5869565217391305
510162;36.0;46;0.782608695652174
343039;-23.0;46;-0.5
378370;-25.5;47;-0.5425531914893617
57673;-21.5;47;-0.4574468085106383
195561;-4.0;47;-0.0851063829787234
263596;-33.0;47;-0.7021276595744681
298374;-4.5;47;-0.09574468085106383
476462;7.0;47;0.14893617021276595
454477;-46.5;47;-0.9893617021276596
515580;35.0;47;0.7446808510638298
627073;-16.5;47;-0.35106382978723405
339485;23.5;48;0.4895833333333333
513848;-48.0;48;-1.0
225301;19.5;48;0.40625
203381;-25.0;48;-0.5208333333333334
552444;1.0;48;0.020833333333333332
619923;46.5;48;0.96875
197728;42.0;48;0.875
482146;-26.5;48;-0.5520833333333334
434768;-30.0;48;-0.625
237360;-21.5;48;-0.4479166666666667
582076;-3.0;49;-0.061224489795918366
656879;-41.0;49;-0.8367346938775511
279142;3.0;49;0.061224489795918366
317462;46.0;49;0.9387755102040817
465149;-14.5;50;-0.29
497231;-14.0;50;-0.28
321386;-21.5;50;-0.43
359855;-48.0;50;-0.96
626351;3.0;50;0.06
553068;-30.0;50;-0.6
50160;34.0;51;0.6666666666666666
425575;11.0;51;0.21568627450980393
469947;0.0;51;0.0
617222;-37.0;51;-0.7254901960784313
644774;-33.5;51;-0.6568627450980392
399670;7.0;52;0.1346153846153846
155224;-6.5;52;-0.125
16722;27.0;52;0.5192307692307693
310678;-8.0;53;-0.1509433962264151
96961;46.5;53;0.8773584905660378
244504;-26.5;53;-0.5
5900;-50.0;53;-0.9433962264150944
133005;41.5;53;0.7830188679245284
227374;-42.0;54;-0.7777777777777778
439982;-27.0;54;-0.5
30592;6.0;54;0.1111111111111111
141320;-7.5;55;-0.13636363636363635
618555;-54.5;55;-0.990909090909091
320757;-14.0;55;-0.2545454545454545
350250;-45.5;55;-0.8272727272727273
206783;-53.0;55;-0.9636363636363636
583228;-43.0;55;-0.7818181818181819
525498;-16.0;55;-0.2909090909090909
180889;-24.5;55;-0.44545454545454544
573523;-36.5;55;-0.6636363636363637
480777;-22.5;56;-0.4017857142857143
221895;-28.5;56;-0.5089285714285714
380474;-22.0;56;-0.39285714285714285
224670;13.5;56;0.24107142857142858
566362;-36.0;56;-0.6428571428571429
632976;-27.5;57;-0.4824561403508772
292261;-39.5;57;-0.6929824561403509
148575;-36.5;57;-0.6403508771929824
594100;29.0;57;0.5087719298245614
383370;57.0;57;1.0
575847;-7.5;57;-0.13157894736842105
460834;-44.5;57;-0.7807017543859649
543902;-4.5;58;-0.07758620689655173
637674;-7.0;58;-0.1206896551724138
664005;-4.0;58;-0.06896551724137931
393219;-8.5;58;-0.14655172413793102
295613;-32.5;59;-0.5508474576271186
16631;55.5;59;0.940677966101695
